"edata_pageid","Count"
"app/taxonomy/PoliticalScience","104"
"question_set","102"
"app/toc/do_113271240593137664173/overview","100"
"app/taxonomy/Growth%20Economics","93"
"app/taxonomy/GrowthEconomics","90"
"app/toc/do_11327642964236697614089/overview","88"
"app/toc/do_113258618192003072110/single-page-view","86"
"app/toc/do_11328133271208755214497/overview","85"
"viewer/quiz/do_1132591768725995521133","85"
"app/toc/do_1132870309116067841126/overview","83"
"app/toc/do_1132741138815877121204/overview","80"
"app/toc/do_11330537328115712013823/overview","79"
"app/discussion/forum","73"
"app/toc/do_11331322169616793611/overview","72"
"app/toc/do_113268495196225536142/overview","66"
"viewer/video/do_113258618243473408111","66"
"app/users/create-user","65"
"viewer/pdf/do_113253048530313216137","65"
"app/toc/do_11329603007908249611103/overview","63"
"app/toc/do_11329809202031820812002/overview","62"
"app/toc/do_1132591333532631041103/overview","61"
"viewer/pdf/do_1132741139642859521205","61"
"app/taxonomy/CurrentStateofIndianEconomy","60"
"app/toc/do_1132643234074542081141/overview","60"
"app/goals/me/all","59"
"app/toc/do_11326359518525849616/overview","59"
"app/toc/do_1132910282752409601521/overview","58"
"viewer/pdf/do_1132741140144701441206","58"
"app/taxonomy/InformationCommunicationTechnologyandDigitalGovernance","57"
"app/toc/do_1132933759046615041565/overview","57"
"app/playlist/create","56"
"app/taxonomy/Test%20-%20Level%201","55"
"app/home/competency","54"
"app/toc/do_11331824736654131211516/overview","54"
"app/discussion-forum/topic/77/testing-124","53"
"app/toc/do_113272650337918976196/overview","53"
"collection_editor","51"
"viewer/pdf/do_113253004579495936124","51"
"app/toc/do_113253164370092032152/overview","50"
"app/toc/do_1132585753022873601128/overview","50"
"app/home/budgeting","49"
"viewer/html/do_113258618376028160114","49"
"viewer/html/do_1132591767665623041131","49"
"app/toc/do_113262901371633664175/overview","48"
"app/toc/do_11330394254719385613799/overview","48"
"viewer/html/do_1132591768208834561132","48"
"app/toc/do_113284070692347904138/overview","46"
"app/toc/do_1132925528412160001253/overview","46"
"app/toc/do_113172342867312640128/overview","45"
"viewer/video/do_11328184158816665612","45"
"app/my-dashboard","44"
"viewer/youtube/do_1133166089567518721334","44"
"app/taxonomy/Concepts%20of%20Law","43"
"app/workallocation/published","43"
"app/taxonomy/Unit%201%20:%20General%20Principles%20of%20Law","42"
"app/invalid-user","41"
"app/taxonomy/CrPC","40"
"app/taxonomy/Measure%20of%20Growth%20and%20Development","40"
"viewer/audio/do_113258618287882240112","39"
"app/taxonomy/Test-Level1","38"
"app/careers/home/12/job%20openings%20for%20full%20stack%20developer","37"
"app/toc/do_113258044096110592195/overview","37"
"app/home/MDO/create-department;needAddAdmin=true","36"
"app/taxonomy/Administration%20of%20Justice","36"
"app/taxonomy/MeasureofGrowthandDevelopment","36"
"app/careers/home/12","35"
"app/toc/do_113253165507895296153/overview","35"
"page/home/widgetData.strips%5B0%5D%3F.viewMoreUrl%3F.path","35"
"viewer/video/do_1132591766258237441128","35"
"viewer/video/do_11328132815286272014491","35"
"workspace","35"
"app/roles/CONTENT%20CREATOR/users","34"
"app/taxonomy/Networking%20&%20Communication","34"
"app/toc/do_11330753283283353614234/overview","34"
"app/taxonomy/Economics%20Thought","33"
"app/taxonomy/MonetaryPolicyandBankRegulation","33"
"app/workallocation/drafts/4bed8dfd-2992-434a-a007-21b66b406da8","33"
"app/careers/home/34/Junior%20Software%20Developer","32"
"app/discussion-forum/topic/85/new-post-for-widgting","32"
"app/toc/do_113267844924088320113/overview","32"
"app/toc/do_1132741138815877121204/single-page-view","32"
"app/toc/do_1132939858196725761768/overview","32"
"do_1131879211119493121330","32"
"viewer/pdf/do_1132591767189504001130","32"
"app/taxonomy/Unit%20II%20:%20Administration%20of%20Justice","31"
"app/taxonomy/Unit%20IV%20:%20Procedural%20Laws%20%28Civil%20and%20Criminal%29","31"
"viewer/html/do_113258618421018624115","31"
"app/profile/dashboard","29"
"app/careers/home/41/New%20discussion","28"
"app/careers/home/56/Chennai%20Port%20Trust%20Recruitment%202020:%20Apply%20for%20Deputy%20Secretary%20Post","28"
"app/discussion/forum/categories","28"
"app/events/list","28"
"app/person-profile/3c9f3ecf-4a25-418d-87ca-98e3fb1a4aaf","28"
"app/taxonomy/ConstitutionofIndia","28"
"app/toc/do_113267908873437184118/overview","28"
"app/toc/do_1132919927821271041141/overview","28"
"viewer/youtube/do_11330876777963520014717","28"
"app/careers/home/40/Digitalisation%20of%20APARs%20in%20respect%20of%20CSS%20Officers","27"
"app/taxonomy/test","27"
"app/toc/do_113253169008582656155/overview","27"
"app/toc/do_1132573004885688321224/overview","27"
"viewer/youtube/do_113252997723701248123","27"
"viewer/pdf/do_1132751311329034241458","26"
"viewer/youtube/do_11330818167169024014439","26"
"app/discussion-forum/category/4","25"
"app/home/workallocation;tab=Published","25"
"app/taxonomy/Unit%20III%20:%20Criminal%20Laws%20%28Substantive%29","25"
"app/toc/do_1132580841228042241102/overview","25"
"app/toc/do_11328132809922969614490/single-page-view","25"
"viewer/html/do_11327568088979046412946","25"
"viewer/html/do_11330818167169024014439","25"
"app/playlist/shared","24"
"app/toc/do_1132591765708554241127/single-page-view","24"
"app/toc/do_11328184150654976011/single-page-view","24"
"app/toc/do_11329598033861836811089/overview","24"
"do_1133166089567518721334","24"
"viewer/audio/do_1132591766720512001129","24"
"viewer/pdf/do_11330537336139776013824","24"
"viewer/quiz/do_1132933761787576321571","24"
"viewer/video/do_113253027640844288129","24"
"app/discussion-forum/topic/84/india-logs-3-29-942-coronavirus-cases-in-past-24-hours-karnataka-tops-chart-with-most-infections","23"
"app/taxonomy/Principles%20of%20Management%20of%20Organizations","23"
"app/taxonomy/ProceduralLaw","23"
"app/taxonomy/MonopolyandInternationalTrade","22"
"app/taxonomy/Unit%20V%20:%20Social%20Legislations/Special%20Laws","22"
"app/toc/do_1131879146085171201320/overview","22"
"app/toc/do_1132281562166476801298/overview","22"
"app/toc/do_113257933092823040123/single-page-view","22"
"app/users/17fd6523-4a1d-422e-8fe2-b76c3cba1faa/details","22"
"viewer/pdf/do_1132751543505223681865","22"
"viewer/youtube/do_1133166091142103041335","22"
"app/discussion-forum/topic/82/new-post-to-test-tags-edited","21"
"app/event-hub/home","21"
"app/profile/interest","21"
"app/taxonomy/UnitIVProceduralLawsCivilandCriminal","21"
"app/toc/do_1132664116265451521211/overview","21"
"app/toc/do_11327558122260889611675/overview","21"
"app/toc/do_11329884358806732812279/overview","21"
"app/toc/do_11330816507131494414415/overview","21"
"app/person-profile/5574b3c5-16ca-49d8-8059-705304f2c7fb","20"
"app/taxonomy/Basics%20of%20National%20Income%20Accounting","20"
"app/taxonomy/CCivil%20Legal%20Remedies","20"
"app/taxonomy/Social%20Networking","20"
"app/toc/do_113264226559246336156/overview","20"
"app/toc/do_1132925528412160001253/single-page-view","20"
"app/toc/do_1132933759046615041565/single-page-view","20"
"app/toc/do_11331165884454502415608/overview","20"
"app/toc/do_113313065335996416152/overview","20"
"do_11330818167169024014439","20"
"viewer/quiz/do_113264226838585344162","20"
"viewer/quiz/do_1132726506116956161102","20"
"viewer/quiz/do_11328132838023987214496","20"
"app/careers/home/36/ONGC%20Recruitment%202020","19"
"app/discussion-forum/topic/48/comment","19"
"app/discussion-forum/topic/86/test-post-edited","19"
"app/person-profile/3a85ecd7-172a-4f51-aa83-90b9e9f46973","19"
"app/person-profile/a6d40e5f-9a03-4700-9c4d-3ad27bf9da3c","19"
"app/taxonomy/ResourceRecoveryfromSolidWastefortheZeroWaste","19"
"app/taxonomy/Test%20-%20Level%202","19"
"app/toc/do_113257933092823040123/overview","19"
"app/toc/do_1132656963757260801194/overview","19"
"app/toc/do_11327647746074214414135/overview","19"
"app/toc/do_1132870309116067841126/single-page-view","19"
"viewer/pdf/do_1132751536171008001825","19"
"viewer/pdf/do_11328132824385945614493","19"
"viewer/quiz/do_11327647768875008014153","19"
"app/taxonomy/History%20&%20Concepts%20","18"
"app/taxonomy/ImplicationsofFiscalPolicy","18"
"app/toc/do_11322384019353600015/overview","18"
"do_1133166091142103041335","18"
"viewer/audio/do_11328132820022886414492","18"
"viewer/pdf/do_1132919932514304001144","18"
"viewer/youtube/do_1133166101387837441336","18"
"app/goals/create/custom","17"
"app/home/directory;department=MDO","17"
"app/playlist/me/do_1132585949420830721147","17"
"app/roles/6/users;currentDept=MDO;roleId=6;depatName=Agriculture%20Department","17"
"app/taxonomy/Introduction%20to%20Public%20Administration","17"
"app/toc/do_113158031999180800150/overview","17"
"app/toc/do_113172342867312640128/single-page-view","17"
"app/toc/do_1132919922301665281140/overview","17"
"app/workallocation/update/4bed8dfd-2992-434a-a007-21b66b406da8/116dc851-b542-4fe4-b332-f7f7266b11d7","17"
"viewer/pdf/do_113253022654701568128","17"
"app/roles/127/users;currentDept=CBC;roleId=127;depatName=Capacity%20Building%20Commission","16"
"app/taxonomy/Ancient%20History","16"
"app/taxonomy/EmergingTrendsinPA","16"
"app/taxonomy/KeythemesofConstituion","16"
"app/taxonomy/SpreadsheetMS-Excel","16"
"app/toc/do_11326359518525849616/single-page-view","16"
"app/toc/do_11327647972430643214309/overview","16"
"app/toc/do_11331189737998745615723/overview","16"
"workspace-content-upforreview","16"
"app/careers/home/39/Request%20for%20vigilance%20update%20in%20Web%20Based%20Cadre%20Management%20System%20in%20respect%20of%20CSS%20officers%20-%20instructions%20for%20Nodal%20Officers","15"
"app/info/about","15"
"app/person-profile/e774dc85-abb0-4506-8493-5402d2cad07c","15"
"app/taxonomy/Constitution%20of%20India","15"
"app/taxonomy/Cyber%20Security","15"
"app/taxonomy/Medieval%20History","15"
"app/taxonomy/MonetaryPolicyandEconomicOutcomes","15"
"app/taxonomy/Test%20-%20Level%203","15"
"app/tnc","15"
"viewer/html/do_113264226748284928160","15"
"viewer/quiz/do_113268495609970688144","15"
"viewer/quiz/do_11332067964004761611580","15"
"app/discussion-forum/category/3","14"
"app/discussion-forum/topic/56/chennai-port-trust-recruitment-2020-apply-for-deputy-secretary-post","14"
"app/person-profile/865301fb-6434-4302-9f2f-027a2280d941","14"
"app/playlist/me/do_1132585949420830721147/edit","14"
"app/roles/122/users;currentDept=MDO;roleId=122;depatName=BESCOM","14"
"app/taxonomy/CPC","14"
"app/taxonomy/IntroductiontoPublicAdministration","14"
"app/taxonomy/NetworkingCommunication","14"
"app/taxonomy/Substantive%20Law","14"
"app/taxonomy/Unit1GeneralPrinciplesofLaw","14"
"app/taxonomy/WANS","14"
"app/toc/do_113252997723701248123/overview","14"
"app/toc/do_113253022552432640127/single-page-view","14"
"app/users/7feb7a2c-2568-440c-adda-d3a6d53062de/details","14"
"app/workallocation/drafts;workorders=63ebf8f2-7884-46a8-847e-3eb32116808e","14"
"app/workallocation/published/326526f1-c879-4190-84ef-04acbc8505be","14"
"error-access-forbidden","14"
"viewer/pdf/do_11326360092554035218","14"
"viewer/pdf/do_113267844978089984114","14"
"viewer/pdf/do_113271240747532288174","14"
"viewer/pdf/do_1132933760447201281568","14"
"workspace-content-draft","14"
"app/discussion-forum/topic/12/job-openings-for-full-stack-developer","13"
"app/discussion/forum/all-discussions","13"
"app/profile/learning/time","13"
"app/taxonomy/Database%20Management%20System%20-%20MS%20Acess","13"
"app/taxonomy/MonetaryPolicyOpenEconomy","13"
"app/taxonomy/Unified%20Communication","13"
"app/taxonomy/UnitVSocialLegislationsSpecialLaws","13"
"app/toc/do_1131998292873625601506/overview","13"
"app/toc/do_11329806039205478411972/overview","13"
"app/workallocation/drafts/1822c87c-022e-4f01-a537-52fe479d0ce1","13"
"app/workallocation/drafts/a32836a5-ceea-47ce-bd65-70d0158ba410","13"
"app/workallocation/drafts/e0e91245-7b48-48d0-93e5-7c8f6c03a98a","13"
"error-service-unavailable","13"
"viewer/html/do_113252997723701248123","13"
"viewer/html/do_1133166091142103041335","13"
"app/careers/home/34","12"
"app/discussion-forum/discussion-forum","12"
"app/person-profile/81a4651e-81e5-42c1-8e71-7ec4d0e8e5e0","12"
"app/taxonomy/Contemporary%20legal%20Developments","12"
"app/taxonomy/EconomicsThought","12"
"app/taxonomy/Indian%20Economy","12"
"app/taxonomy/Law%20of%20Evidence%20and%20Alternate%20Dispute%20Resolution","12"
"app/taxonomy/Test%20-%20Level%204","12"
"app/taxonomy/Test%20-%20Level%205","12"
"app/taxonomy/UnitIIICriminalLawsSubstantive","12"
"app/toc/do_113169495905419264125/overview","12"
"app/toc/do_113258013370417152158/overview","12"
"app/toc/do_1132939981224673281773/overview","12"
"app/toc/do_11332359649609318412258/overview","12"
"app/workallocation/drafts/29fe6403-614e-4c00-9859-f8a59aa3b650","12"
"app/workallocation/drafts/2c223ad3-f2bd-41ba-bdae-2095fbf390b4","12"
"do_113258618243473408111","12"
"viewer/html/do_11328132828898099214494","12"
"viewer/quiz/do_1132934466871214081651","12"
"viewer/video/do_11328184165342412813","12"
"app/discussion-forum/topic/112/sample-test","11"
"app/discussion-forum/topic/35/testing","11"
"app/discussion-forum/topic/58/testing-discussion","11"
"app/discussion-forum/topic/81/test-discussion-post","11"
"app/goals/create/common","11"
"app/playlist/me/do_1132571358666424321111","11"
"app/taxonomy/Introduction%20to%20Economics","11"
"app/taxonomy/MonetaryPolicy-ConceptsandComponents","11"
"app/taxonomy/Principles%20of%20Macro%20Economics","11"
"app/taxonomy/TypingTutor","11"
"app/taxonomy/Unit%20VI%20:%20Basics%20of%20Law%20of%20Contracts%20and%20Law%20of%20Torts","11"
"app/toc/do_1132281448508538881279/overview","11"
"app/toc/do_11328114553668403214482/overview","11"
"app/toc/do_11329615663656140811202/overview","11"
"app/toc/do_11330239243299225613566/overview","11"
"app/workallocation/drafts/74693c1c-5930-4764-8950-0583a2a355c4","11"
"app/workallocation/drafts/b6021a87-0ad8-43b3-910e-83211220d516","11"
"app/workallocation/drafts/eff52849-95d9-428a-9d4c-37dad8ddc14d","11"
"discussion-forum/tags","11"
"viewer/pdf/do_1132585754674872321131","11"
"viewer/pdf/do_11329603124894105611105","11"
"app/discussion-forum/topic/19/what-is-all-discussion","10"
"app/roles/122/users;currentDept=MDO;roleId=122","10"
"app/taxonomy/Applications","10"
"app/taxonomy/Computer%20Fundamentals","10"
"app/taxonomy/Content%20Services","10"
"app/taxonomy/E-Governance","10"
"app/taxonomy/EmergingTechnologies","10"
"app/taxonomy/Financial%20Management","10"
"app/taxonomy/PrinciplesofMacroEconomics","10"
"app/taxonomy/UnitIIAdministrationofJustice","10"
"app/toc/do_11323389874149785611/overview","10"
"app/toc/do_113291872528351232180/overview","10"
"viewer/html/do_11327563066897203212062","10"
"viewer/html/do_1133166089567518721334","10"
"viewer/pdf/do_1132643235550658561144","10"
"viewer/quiz/do_11329809246632345612007","10"
"viewer/video/do_1132643234616279041142","10"
"app/careers/home/38/Recruitment%20Specialist","9"
"app/discuss/home/50","9"
"app/discussion-forum/topic/113/discussion-topic","9"
"app/discussion-forum/topic/60/helllo-testing","9"
"app/discussion-forum/topic/80/igot-demo1-testing","9"
"app/discussion/forum/tags","9"
"app/home/CBC/create-department;needAddAdmin=true","9"
"app/person-profile/10c08c46-d53a-44f2-8dc1-a1993691319b","9"
"app/playlist/me/do_11325701895378534411","9"
"app/roles/127/users;currentDept=CBC;roleId=127","9"
"app/taxonomy/BankRegulationsMonetaryPolicy","9"
"app/taxonomy/BasicsofEmergingTechnologies","9"
"app/taxonomy/CollaborationToolsMeetingsSolutions","9"
"app/taxonomy/GovernmentAccountingBudgetingPrinciples","9"
"app/taxonomy/GovernmentBudgetandFiscalPolicy","9"
"app/taxonomy/Socialcollaborationtoolsandmeetingssolutions","9"
"app/toc/do_1132572374117171201204/overview","9"
"app/toc/do_113268380105089024125/overview","9"
"app/toc/do_11330632101357158414067/single-page-view","9"
"app/users/87caed31-681a-4027-91ae-e250782dccb3/details","9"
"app/workallocation/drafts/49375862-8b8d-465a-99af-e08857bf185d","9"
"app/workallocation/drafts/ab48c583-2404-4eae-baaf-de09dfbdb8f7","9"
"discussion-forum/categories","9"
"do_11322384026198835216","9"
"viewer/html/do_113262901449310208176","9"
"viewer/html/do_113264226794135552161","9"
"viewer/html/do_11328132833495449614495","9"
"viewer/quiz/do_1132934848553861121665","9"
"viewer/quiz/do_1132940039317667841777","9"
"viewer/video/do_113258044263555072197","9"
"viewer/video/do_11326359533248512017","9"
"viewer/video/do_1132870303641518081125","9"
"viewer/youtube/do_113258618421018624115","9"
"app/approvals/48a0a00f-caca-4664-b044-0bb08fcb3321/to-approve","8"
"app/approvals/a573fb86-6a66-4546-b509-3bd233239b4e/to-approve","8"
"app/discuss/home/20","8"
"app/discuss/home/58","8"
"app/discussion-forum/category/6","8"
"app/discussion-forum/topic/1/welcome-to-your-nodebb","8"
"app/discussion-forum/topic/115/new-discussions","8"
"app/discussion-forum/topic/2/general-discussion","8"
"app/discussion-forum/topic/47/blog-test","8"
"app/discussion-forum/topic/63/check-testing-1","8"
"app/discussion/forum/my-discussion","8"
"app/discussion/forum/topic/80/igot-demo1-testing","8"
"app/goals/me/completed","8"
"app/person-profile/075e3a3f-1a56-4ea3-9042-c66e2288e60c","8"
"app/person-profile/5fd5b86d-1ed7-4d0d-b71d-3fc97a1bf92f","8"
"app/playlist/me/do_1132565147579432961109","8"
"app/profile/notification","8"
"app/roles/1/users;currentDept=SPV;roleId=1;depatName=Karmayogi%20Bharat","8"
"app/roles/124/users;currentDept=MDO;roleId=124;depatName=BIRCTC%20tourism","8"
"app/taxonomy/-ExaminespreadsheetconceptsandexploretheMicrosoftOfficeExcelenvironment","8"
"app/taxonomy/116","8"
"app/taxonomy/Administrative%20Law","8"
"app/taxonomy/Human%20Resource%20Management%20in%20Government","8"
"app/taxonomy/Meaning,%20Nature,%20Scope%20of%20PA","8"
"app/taxonomy/NaturePurposeofOrganisation","8"
"app/taxonomy/Principles%20of%20Management","8"
"app/taxonomy/Principles%20of%20Micro%20Economics","8"
"app/taxonomy/RightsandGoals","8"
"app/taxonomy/Spreadsheet%20%28MS-Excel%29","8"
"app/toc/do_11322391526612172818/overview","8"
"app/toc/do_11330818167169024014439/overview","8"
"app/users/48a0a00f-caca-4664-b044-0bb08fcb3321/details","8"
"app/workallocation/details/b738be2f-4216-4d01-a784-7c366a3a3a7c","8"
"app/workallocation/drafts/4157cdf2-0988-4c48-ba9a-472428449b66","8"
"app/workallocation/drafts/bff7f672-2bb3-4d24-95c2-528b9fc63122","8"
"app/workallocation/drafts/f8b8f285-1528-4d64-b7a4-abaf4f81151c","8"
"do_113258618421018624115","8"
"viewer/html/do_1132591335458816001107","8"
"viewer/html/do_1132591335954186241108","8"
"viewer/html/do_1132643236017848321145","8"
"viewer/html/do_11327563084609945612064","8"
"viewer/pdf/do_1132580842992107521104","8"
"viewer/pdf/do_11330788488937472014286","8"
"viewer/quiz/do_1132750186762813441432","8"
"viewer/quiz/do_11328133285267046414498","8"
"viewer/video/do_1132939859267747841770","8"
"workspace-content-create","8"
"app/approvals/0706093a-c811-494a-b963-9438f737439a/to-approve","7"
"app/approvals/81a4651e-81e5-42c1-8e71-7ec4d0e8e5e0/to-approve","7"
"app/careers/home/37/RITES%20Recruitment%202021","7"
"app/careers/home/55/Filling%20up%20the%20post%20of%20Financial%20Adviser%20%28JS%20level%29","7"
"app/discuss/home/33","7"
"app/discuss/home/35","7"
"app/discussion-forum/topic/21/testing-for-discussion-1","7"
"app/discussion-forum/topic/65/when-will-this-covid-pandemic-ends","7"
"app/discussion-forum/topic/83/covid-19-india-reports-3-29-lakh-new-cases-lowest-in-14-days","7"
"app/home/CBP/create-department;needAddAdmin=true","7"
"app/home/content-detail/do_113253165507895296153/overview","7"
"app/person-profile/1b945e91-f5e8-4217-a880-d28be3078016","7"
"app/person-profile/4bc5e2d9-f225-4706-bf95-01add169f5c1","7"
"app/playlist/me/do_1132571358666424321111/edit","7"
"app/playlist/me/do_1132613453503283201516","7"
"app/taxonomy/BasicsofNationalIncomeAccounting","7"
"app/taxonomy/ComputerFundamentals","7"
"app/taxonomy/ConceptsofLaw","7"
"app/taxonomy/ContemporaryIndianPolitics","7"
"app/taxonomy/Economic%20System:%20State%20and%20Market","7"
"app/taxonomy/HistoryofEconomic","7"
"app/taxonomy/IntroductiontoEconomics","7"
"app/taxonomy/MicroeconomicsandMacroeconomics","7"
"app/taxonomy/Modern%20History","7"
"app/taxonomy/Post-Independence%20History","7"
"app/taxonomy/ProverbsMaximsofPA","7"
"app/taxonomy/TransliterationandVoiceTyping","7"
"app/taxonomy/UnionExecutive","7"
"app/taxonomy/Working%20of%20Economy","7"
"app/toc/do_113253022654701568128/overview","7"
"app/toc/do_113254315729616896175/overview","7"
"app/toc/do_1132591768725995521133/overview","7"
"app/toc/do_113262901371633664175/single-page-view","7"
"app/toc/do_1132934842717388801661/overview","7"
"app/toc/do_11330604458646732813901/overview","7"
"app/toc/do_11330658348506316814076/overview","7"
"app/workallocation/drafts/a87d51a0-0326-4711-a6c1-3ed59ec0fc84","7"
"app/workallocation/drafts/d689b265-b2c4-4d1b-9b20-1eb48171c81f","7"
"app/workallocation/drafts/fd82b230-fd6c-4f4b-b713-a87271e98af4","7"
"app/workallocation/update/4bed8dfd-2992-434a-a007-21b66b406da8/906d89f1-9959-4f96-be00-14be1be903c5","7"
"sunbird-player-Endpage","7"
"viewer/audio/do_1132643235086417921143","7"
"viewer/html/do_1132925532805283841256","7"
"viewer/html/do_11330876777963520014717","7"
"viewer/pdf/do_113257933430104064124","7"
"viewer/pdf/do_113267845022613504115","7"
"viewer/pdf/do_113268495481536512143","7"
"viewer/pdf/do_11328133296567910414499","7"
"viewer/video/do_113258044197396480196","7"
"viewer/video/do_1132933759566069761566","7"
"workspace-content-inreview","7"
"UpForReview","6"
"app/approvals/05efcd20-b9cc-4d0a-b215-4be97d9c5622/to-approve","6"
"app/discuss/home/67","6"
"app/discussion-forum/topic/2/igot-integration-with-node-bb","6"
"app/discussion-forum/topic/45/how-do-we-test-the-ideas","6"
"app/goals/edit/me/do_1132170369357824001559","6"
"app/home/MDO/create-department;data=%7B%22action%22:%22Edit%22,%22row%22:%7B%22id%22:6,%22mdo%22:%22Agriculture%20Department%22,%22type%22:%22Board%22,%22user%22:4,%22head%22:%22test%22,%22typeid%22:3%7D%7D","6"
"app/person-profile/833d1fc5-f623-4695-98f9-c840104f3d1b","6"
"app/person-profile/8413f24e-c919-40ba-9a95-f489a08f1aa1","6"
"app/playlist/me/do_11325701895378534411/edit","6"
"app/profile/accountandpassword","6"
"app/profile/privacy","6"
"app/roles/115/users;currentDept=MDO;roleId=115;depatName=Network%20hub%20MDO","6"
"app/taxonomy/AdministrationofJustice","6"
"app/taxonomy/Basics%20of%20Demand%20and%20Supply","6"
"app/taxonomy/Freeware%20Linux","6"
"app/taxonomy/History%20of%20Economic","6"
"app/taxonomy/HistoryConcepts","6"
"app/taxonomy/MeaningNatureScopeofPA","6"
"app/taxonomy/Organisations","6"
"app/taxonomy/OverviewofFinancialStatements","6"
"app/taxonomy/Political%20Thoughts%20&%20Political%20Concepts","6"
"app/taxonomy/PrinciplesofMicroEconomics","6"
"app/toc/do_113258618287882240112/overview","6"
"app/toc/do_113272650337918976196/single-page-view","6"
"app/toc/do_1132741139642859521205/overview","6"
"app/toc/do_1132934463864832001649/overview","6"
"app/toc/do_11329603007908249611103/single-page-view","6"
"app/toc/do_11330334529715404813761/overview","6"
"app/toc/do_11331322169616793611/single-page-view","6"
"app/toc/do_113331562127818752112/overview","6"
"app/users/5095d9c5-1147-4d33-af58-301259bd5aa5/details","6"
"app/workallocation/drafts/02144de5-3b61-4ae7-8ea0-febe815bc6ed","6"
"app/workallocation/drafts/2889f26e-0484-4f05-bec4-615eea53cae8","6"
"app/workallocation/drafts/4a142984-9242-4d5a-bd6c-2f2967941fab","6"
"app/workallocation/drafts/5917de67-32e9-43fb-9316-3d0ebee4e7fb","6"
"app/workallocation/drafts/6abd971f-c5fd-496f-b29b-aa32e605aec3","6"
"app/workallocation/drafts/6e0c0140-4090-4166-9948-5898feb5ad44","6"
"app/workallocation/drafts/a43ec1ff-1e30-44e6-b4c5-bfb5bf3e8431","6"
"app/workallocation/drafts/dc691955-adaa-477e-995b-40fe8ee588ee","6"
"app/workallocation/update/4157cdf2-0988-4c48-ba9a-472428449b66/5f470b5d-5b21-4f0f-a541-da8ed5ebe1b6","6"
"author/confirmation","6"
"discussion-forum","6"
"do_1131878893796638721311","6"
"do_11322314365176217613","6"
"do_11330876777963520014717","6"
"do_11331824819181977611523","6"
"upload-content","6"
"viewer/audio/do_1132933760003768321567","6"
"viewer/pdf/do_113264226703032320159","6"
"viewer/pdf/do_1132910283831541761522","6"
"viewer/pdf/do_1132939861477457921772","6"
"viewer/video/do_11330394272857292813801","6"
"viewer/video/do_11331824762536755211518","6"
"viewer/youtube/do_113258618376028160114","6"
"workspace-content-allcontent","6"
"app/approvals/fa13f3b4-4c09-405a-8f3b-f3bd31852146/to-approve","5"
"app/discuss/categories","5"
"app/discuss/home/59","5"
"app/discussion-forum/category/10","5"
"app/discussion-forum/category/7","5"
"app/discussion-forum/topic/111/testing-widget-part-2","5"
"app/discussion-forum/topic/41/new-discussion","5"
"app/discussion-forum/topic/86/test-post","5"
"app/person-profile/48a0a00f-caca-4664-b044-0bb08fcb3321","5"
"app/person-profile/dcb8b4d7-4244-4822-b453-2cacf0e02aa6","5"
"app/person-profile/f3fc7f7c-45d8-473e-aa7d-eca3cd1b79c2","5"
"app/roles/125/users;currentDept=MDO;roleId=125;depatName=mdo%20check%20test","5"
"app/roles/130/users;currentDept=CBC;roleId=130;depatName=CBC%20demo","5"
"app/roles/48/users;currentDept=MDO;roleId=48","5"
"app/roles/EDITOR/users","5"
"app/roles/IFUMember/users","5"
